,Количество комнат,Цена квартиры,Площадь,Район
135,1,5278543.0,39.5,Железнодорожный
136,1,5278543.0,39.5,Железнодорожный
137,1,4759288.0,33.9,Железнодорожный
138,Ст,3732508.0,23.2,Железнодорожный
139,2,6531236.0,59.8,Железнодорожный
140,2,6152232.0,53.5,Железнодорожный
141,Ст,3517593.0,21.5,Железнодорожный
142,3,8115529.0,87.8,Железнодорожный
143,1,4516458.0,31.8,Железнодорожный
144,2,6524609.0,56.9,Железнодорожный
145,Ст,3594536.0,21.4,Железнодорожный
146,3,7924125.0,87.8,Железнодорожный
147,2,5904072.0,50.2,Железнодорожный
148,Ст,3724922.0,23.2,Железнодорожный
149,3,7603338.0,85.8,Железнодорожный
150,2,7035928.0,65.8,Железнодорожный
151,2,6389318.0,56.8,Железнодорожный
152,2,6419173.0,56.9,Железнодорожный
153,2,6274476.0,53.3,Железнодорожный
154,2,5734904.0,50.3,Железнодорожный
155,1,4708407.0,33.8,Железнодорожный
156,2,5932172.0,53.2,Железнодорожный
157,2,6376881.0,60.5,Железнодорожный
158,1,4573225.0,32.6,Железнодорожный
159,2,6449421.0,60.5,Железнодорожный
160,2,6350503.0,60.5,Железнодорожный
161,2,6469204.0,60.5,Железнодорожный
162,3,8201661.0,87.8,Железнодорожный
163,1,4556058.0,33.9,Железнодорожный
164,1,4556058.0,33.9,Железнодорожный
165,1,4582251.0,34.6,Железнодорожный
166,2,6140929.0,53.2,Железнодорожный
167,3,6611940.0,67.4,Железнодорожный
168,1,5248153.0,41.4,Железнодорожный
169,2,5874184.0,53.2,Железнодорожный
170,1,5551000.0,42.7,Верх-Исетский
171,1,5567900.0,42.83,Верх-Исетский
172,1,5571800.0,42.86,Верх-Исетский
173,1,5579600.0,42.92,Верх-Исетский
174,1,5607900.0,41.85,Верх-Исетский
175,1,5614700.0,43.19,Верх-Исетский
176,1,5623500.0,40.75,Верх-Исетский
177,1,5653560.0,42.83,Верх-Исетский
178,1,5665440.0,42.92,Верх-Исетский
179,1,5712200.0,43.94,Верх-Исетский
180,1,5739220.0,42.83,Верх-Исетский
181,1,5743240.0,42.86,Верх-Исетский
182,1,5746320.0,41.64,Верх-Исетский
183,1,5786500.0,40.75,Верх-Исетский
184,1,5787460.0,43.19,Верх-Исетский
185,1,5798760.0,42.02,Верх-Исетский
186,1,5837580.0,47.46,Верх-Исетский
187,1,5901320.0,40.42,Верх-Исетский
188,1,5912880.0,41.64,Верх-Исетский
189,1,5966840.0,42.02,Верх-Исетский
190,1,5979960.0,47.46,Верх-Исетский
191,1,6008600.0,46.22,Верх-Исетский
192,1,6008600.0,46.22,Верх-Исетский
193,1,6037100.0,41.35,Верх-Исетский
194,1,6101040.0,46.22,Верх-Исетский
195,1,6107180.0,41.83,Верх-Исетский
196,1,6109440.0,47.36,Верх-Исетский
197,1,6223680.0,43.22,Верх-Исетский
198,1,6251520.0,47.31,Верх-Исетский
199,1,6455040.0,52.48,Верх-Исетский
200,1,6558500.0,50.45,Верх-Исетский
201,1,6569640.0,52.14,Верх-Исетский
202,1,6656000.0,51.2,Верх-Исетский
203,1,6709850.0,50.45,Верх-Исетский
204,1,6726060.0,52.14,Верх-Исетский
205,1,6809600.0,51.2,Верх-Исетский
