,Количество комнат,Цена квартиры,Площадь,Район,Ссылка
38,2,4821795,51.57,Верх-Исетский,https://www.an-nks.ru/search?view=filter-search&type=0&prev_type=0&district=ВИЗ&prev_district=ВИЗ&prev_stock=&price%5Bfrom%5D=690000&price%5Bto%5D=16700000&ploshchad%5Bfrom%5D=14.5&ploshchad%5Bto%5D=143.6
39,2,5138880,53.53,Верх-Исетский,https://www.an-nks.ru/search?view=filter-search&type=0&prev_type=0&district=ВИЗ&prev_district=ВИЗ&prev_stock=&price%5Bfrom%5D=690000&price%5Bto%5D=16700000&ploshchad%5Bfrom%5D=14.5&ploshchad%5Bto%5D=143.6
40,2,5224680,56.79,Верх-Исетский,https://www.an-nks.ru/search?view=filter-search&type=0&prev_type=0&district=ВИЗ&prev_district=ВИЗ&prev_stock=&price%5Bfrom%5D=690000&price%5Bto%5D=16700000&ploshchad%5Bfrom%5D=14.5&ploshchad%5Bto%5D=143.6
41,2,5371475,58.07,Верх-Исетский,https://www.an-nks.ru/search?view=filter-search&type=0&prev_type=0&district=ВИЗ&prev_district=ВИЗ&prev_stock=&price%5Bfrom%5D=690000&price%5Bto%5D=16700000&ploshchad%5Bfrom%5D=14.5&ploshchad%5Bto%5D=143.6
42,2,5536125,59.85,Верх-Исетский,https://www.an-nks.ru/search?view=filter-search&type=0&prev_type=0&district=ВИЗ&prev_district=ВИЗ&prev_stock=&price%5Bfrom%5D=690000&price%5Bto%5D=16700000&ploshchad%5Bfrom%5D=14.5&ploshchad%5Bto%5D=143.6
43,2,5546480,62.32,Верх-Исетский,https://www.an-nks.ru/search?view=filter-search&type=0&prev_type=0&district=ВИЗ&prev_district=ВИЗ&prev_stock=&price%5Bfrom%5D=690000&price%5Bto%5D=16700000&ploshchad%5Bfrom%5D=14.5&ploshchad%5Bto%5D=143.6
44,2,5547595,58.09,Верх-Исетский,https://www.an-nks.ru/search?view=filter-search&type=0&prev_type=0&district=ВИЗ&prev_district=ВИЗ&prev_stock=&price%5Bfrom%5D=690000&price%5Bto%5D=16700000&ploshchad%5Bfrom%5D=14.5&ploshchad%5Bto%5D=143.6
45,2,5702040,60.66,Верх-Исетский,https://www.an-nks.ru/search?view=filter-search&type=0&prev_type=0&district=ВИЗ&prev_district=ВИЗ&prev_stock=&price%5Bfrom%5D=690000&price%5Bto%5D=16700000&ploshchad%5Bfrom%5D=14.5&ploshchad%5Bto%5D=143.6
46,2,5737160,61.36,Верх-Исетский,https://www.an-nks.ru/search?view=filter-search&type=0&prev_type=0&district=ВИЗ&prev_district=ВИЗ&prev_stock=&price%5Bfrom%5D=690000&price%5Bto%5D=16700000&ploshchad%5Bfrom%5D=14.5&ploshchad%5Bto%5D=143.6
47,2,5787180,61.24,Верх-Исетский,https://www.an-nks.ru/search?view=filter-search&type=0&prev_type=0&district=ВИЗ&prev_district=ВИЗ&prev_stock=&price%5Bfrom%5D=690000&price%5Bto%5D=16700000&ploshchad%5Bfrom%5D=14.5&ploshchad%5Bto%5D=143.6
48,2,6084650,65.78,Верх-Исетский,https://www.an-nks.ru/search?view=filter-search&type=0&prev_type=0&district=ВИЗ&prev_district=ВИЗ&prev_stock=&price%5Bfrom%5D=690000&price%5Bto%5D=16700000&ploshchad%5Bfrom%5D=14.5&ploshchad%5Bto%5D=143.6
49,2,6419560,63.56,Верх-Исетский,https://www.an-nks.ru/search?view=filter-search&type=0&prev_type=0&district=ВИЗ&prev_district=ВИЗ&prev_stock=&price%5Bfrom%5D=690000&price%5Bto%5D=16700000&ploshchad%5Bfrom%5D=14.5&ploshchad%5Bto%5D=143.6
50,3,6598560,74.56,Верх-Исетский,https://www.an-nks.ru/search?view=filter-search&type=0&prev_type=0&district=ВИЗ&prev_district=ВИЗ&prev_stock=&price%5Bfrom%5D=690000&price%5Bto%5D=16700000&ploshchad%5Bfrom%5D=14.5&ploshchad%5Bto%5D=143.6
51,3,6744465,71.37,Верх-Исетский,https://www.an-nks.ru/search?view=filter-search&type=0&prev_type=0&district=ВИЗ&prev_district=ВИЗ&prev_stock=&price%5Bfrom%5D=690000&price%5Bto%5D=16700000&ploshchad%5Bfrom%5D=14.5&ploshchad%5Bto%5D=143.6
52,3,6767560,76.04,Верх-Исетский,https://www.an-nks.ru/search?view=filter-search&type=0&prev_type=0&district=ВИЗ&prev_district=ВИЗ&prev_stock=&price%5Bfrom%5D=690000&price%5Bto%5D=16700000&ploshchad%5Bfrom%5D=14.5&ploshchad%5Bto%5D=143.6
53,3,7022785,75.11,Верх-Исетский,https://www.an-nks.ru/search?view=filter-search&type=0&prev_type=0&district=ВИЗ&prev_district=ВИЗ&prev_stock=&price%5Bfrom%5D=690000&price%5Bto%5D=16700000&ploshchad%5Bfrom%5D=14.5&ploshchad%5Bto%5D=143.6
54,3,14800000,123,Верх-Исетский,https://www.an-nks.ru/search?view=filter-search&type=0&prev_type=0&district=ВИЗ&prev_district=ВИЗ&prev_stock=&price%5Bfrom%5D=690000&price%5Bto%5D=16700000&ploshchad%5Bfrom%5D=14.5&ploshchad%5Bto%5D=143.6
55,3,16700000,140.5,Верх-Исетский,https://www.an-nks.ru/search?view=filter-search&type=0&prev_type=0&district=ВИЗ&prev_district=ВИЗ&prev_stock=&price%5Bfrom%5D=690000&price%5Bto%5D=16700000&ploshchad%5Bfrom%5D=14.5&ploshchad%5Bto%5D=143.6
56,1,7130396,40.65,Ленинский,https://catalog.vysotadom.ru/?roistat_visit=500854&page=2
57,1,7200000,40.65,Ленинский,https://catalog.vysotadom.ru/?roistat_visit=500854&page=2
58,1,7312049,40.65,Ленинский,https://catalog.vysotadom.ru/?roistat_visit=500854&page=2
59,1,7360000,40.65,Ленинский,https://catalog.vysotadom.ru/?roistat_visit=500854&page=2
60,1,7554550,40.62,Ленинский,https://catalog.vysotadom.ru/?roistat_visit=500854&page=2
61,1,7687112,40.37,Ленинский,https://catalog.vysotadom.ru/?roistat_visit=500854&page=2
62,1,7796626,40.34,Ленинский,https://catalog.vysotadom.ru/?roistat_visit=500854&page=2
63,1,8095498,45.63,Ленинский,https://catalog.vysotadom.ru/?roistat_visit=500854&page=2
64,1,8440247,45.63,Ленинский,https://catalog.vysotadom.ru/?roistat_visit=500854&page=2
65,2,9780757,60.77,Ленинский,https://catalog.vysotadom.ru/?roistat_visit=500854&page=2
66,2,10470696,68.60,Ленинский,https://catalog.vysotadom.ru/?roistat_visit=500854&page=2
67,2,11285783,66.97,Ленинский,https://catalog.vysotadom.ru/?roistat_visit=500854&page=2
68,3,13504724,82.61,Ленинский,https://catalog.vysotadom.ru/?roistat_visit=500854&page=2
69,3,14847388,102.35,Ленинский,https://catalog.vysotadom.ru/?roistat_visit=500854&page=2
70,1,5336940,42.4,Октябрьский,https://www.pik.ru/search/ekb/ip
71,2,6091630,56.4,Октябрьский,https://www.pik.ru/search/ekb/ip
72,1,4452836,33.3,Октябрьский,https://www.pik.ru/search/ekb/ip
73,1,5243223,39,Октябрьский,https://www.pik.ru/search/ekb/ip
74,3,8086922,73.4,Октябрьский,https://www.pik.ru/search/ekb/ip
75,3,8141256,92,Октябрьский,https://www.pik.ru/search/ekb/ip
76,2,7378801,60,Октябрьский,https://www.pik.ru/search/ekb/ip
77,2,5615571,52.8,Октябрьский,https://www.pik.ru/search/ekb/ip
78,1,5046207,36.2,Октябрьский,https://www.pik.ru/search/ekb/ip
79,3,7897444,73.4,Октябрьский,https://www.pik.ru/search/ekb/ip
80,2,5940213,56.4,Октябрьский,https://www.pik.ru/search/ekb/ip
81,3,9454902,92.8,Октябрьский,https://www.pik.ru/search/ekb/ip
82,3,9309953,92,Октябрьский,https://www.pik.ru/search/ekb/ip
83,Ст,3104589,19.6,Октябрьский,https://www.pik.ru/search/ekb/ip
84,3,8011131,73.4,Октябрьский,https://www.pik.ru/search/ekb/ip
85,1,4886385,39.8,Октябрьский,https://www.pik.ru/search/ekb/ip
86,2,5761784,55.8,Октябрьский,https://www.pik.ru/search/ekb/ip
87,Ст,3084351,19.6,Октябрьский,https://www.pik.ru/search/ekb/ip
88,2,6142598,52,Октябрьский,https://www.pik.ru/search/ekb/ip
89,Ст,3096494,19.6,Октябрьский,https://www.pik.ru/search/ekb/ip
90,2,6804378,68.5,Октябрьский,https://www.pik.ru/search/ekb/ip
91,1,4890515,40.9,Октябрьский,https://www.pik.ru/search/ekb/ip
